E+Version,Climate,System,Parametric,Heating [kBtu],Cooling [kBtu],Fan [kBtu],Heat [kWh],Cool [kWh],Fan [kWh],U,SHGC,Run
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00012Table.csv,11221.19,21546.72,4946.15,3287.81,6313.2,1449.22195,0.3,0.85,12
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00013Table.csv,18498.47,10385.96,2406.87,5420.05,3043.1,705.21291,0.5,0.1,13
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00014Table.csv,16740.16,12491.38,2879.17,4904.87,3660.0,843.59681,0.5,0.25,14
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00015Table.csv,15808.14,13956.55,3243.83,4631.79,4089.3,950.44219,0.5,0.4,15
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00016Table.csv,14825.29,15990.67,3727.25,4343.81,4685.3,1092.08425,0.5,0.55,16
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00017Table.csv,13937.57,18528.07,4319.42,4083.71,5428.7,1265.59006,0.5,0.7,17
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00018Table.csv,13232.87,21362.47,5005.85,3877.23,6259.2,1466.71405,0.5,0.85,18
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00019Table.csv,20588.56,10536.61,2501.53,6032.45,3087.2,732.94829,0.7,0.1,19
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00020Table.csv,18611.75,12804.37,3024.84,5453.24,3751.7,886.27812,0.7,0.25,20
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00021Table.csv,17496.59,14519.25,3445.37,5126.50,4254.1,1009.49341,0.7,0.4,21
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00022Table.csv,16484.63,16594.03,3936.03,4830.00,4862.1,1153.25679,0.7,0.55,22
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00023Table.csv,15679.76,18842.13,4480.86,4594.17,5520.7,1312.89198,0.7,0.7,23
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00024Table.csv,14995.12,21364.74,5098.50,4393.57,6259.9,1493.8605,0.7,0.85,24
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00025Table.csv,22421.80,10661.77,2587.21,6569.59,3123.9,758.05253,0.9,0.1,25
9.2,2A,Elec,HOU+elecres+slab+IECC_2018_para00026Table.csv,20209.71,13175.89,3178.86,5921.45,3860.5,931.40598,0.9,0.25,26
