Run,Climate,System,Parametric,Heating [kBtuh]_92,Cooling [kBtuh]_92,Fan [kBtuh]_92,Heat [kW]_92,Cool [kW]_92,Fan [kW]_92,Demand [kW]_92,Heating [kBtuh]_95,Cooling [kBtuh]_95,Fan [kBtuh]_95,Heat [kW]_95,Cool [kW]_95,Fan [kW]_95,Demand [kW]_95,U,SHGC,Demand%Diff
28,2A,Elec,HOU+elecres+slab+IECC_2006_para00028Table.csv,29.8,0,1.68,8.73,0,0.49224,9.22224,29.79,0,1.69,8.73,0,0.49517,9.22517,0.9,0.55,0.031771023
29,2A,Elec,HOU+elecres+slab+IECC_2006_para00029Table.csv,30.32,0,1.86,8.88,0,0.54498,9.42498,30.32,0,1.88,8.88,0,0.55084,9.43084,0.9,0.7,0.062175198
30,2A,Elec,HOU+elecres+slab+IECC_2006_para00030Table.csv,30.32,0,2.03,8.88,0,0.59479,9.47479,30.32,0,2.03,8.88,0,0.59479,9.47479,0.9,0.85,0
31,2A,Elec,HOU+elecres+slab+IECC_2006_para00031Table.csv,31.1,0,1.14,9.11,0,0.33402,9.44402,31.1,0,1.16,9.11,0,0.33988,9.44988,1.1,0.1,0.062049847
32,2A,Elec,HOU+elecres+slab+IECC_2006_para00032Table.csv,31.1,0,1.38,9.11,0,0.40434,9.51434,31.1,0,1.38,9.11,0,0.40434,9.51434,1.1,0.25,0
33,2A,Elec,HOU+elecres+slab+IECC_2006_para00033Table.csv,31.1,0,1.56,9.11,0,0.45708,9.56708,31.1,0,1.58,9.11,0,0.46294,9.57294,1.1,0.4,0.061251709
34,2A,Elec,HOU+elecres+slab+IECC_2006_para00034Table.csv,30.67,0,1.73,8.99,0,0.50689,9.49689,30.67,0,1.72,8.99,0,0.50396,9.49396,1.1,0.55,-0.030852205
35,2A,Elec,HOU+elecres+slab+IECC_2006_para00035Table.csv,31.1,0,1.9,9.11,0,0.5567,9.6667,31.1,0,1.9,9.11,0,0.5567,9.6667,1.1,0.7,0
36,2A,Elec,HOU+elecres+slab+IECC_2006_para00036Table.csv,31.1,0,2.06,9.11,0,0.60358,9.71358,31.1,0,2.04,9.11,0,0.59772,9.70772,1.1,0.85,-0.060327912
1,2A,Elec,HOU+elecres+slab+IECC_2018_para00001Table.csv,19.54,0,3.11,5.73,0,0.91123,6.64123,19.54,0,3.11,5.73,0,0.91123,6.64123,0.1,0.1,0
2,2A,Elec,HOU+elecres+slab+IECC_2018_para00002Table.csv,19.54,0,1.04,5.73,0,0.30472,6.03472,19.54,0,1.06,5.73,0,0.31058,6.04058,0.1,0.25,0.097104754
3,2A,Elec,HOU+elecres+slab+IECC_2018_para00003Table.csv,19.54,0,1.19,5.73,0,0.34867,6.07867,19.54,0,1.24,5.73,0,0.36332,6.09332,0.1,0.4,0.241006668
4,2A,Elec,HOU+elecres+slab+IECC_2018_para00004Table.csv,19.54,0,1.37,5.73,0,0.40141,6.13141,19.54,0,1.42,5.73,0,0.41606,6.14606,0.1,0.55,0.238933622
5,2A,Elec,HOU+elecres+slab+IECC_2018_para00005Table.csv,19.54,0,1.56,5.73,0,0.45708,6.18708,19.54,0,1.6,5.73,0,0.4688,6.1988,0.1,0.7,0.189426999
6,2A,Elec,HOU+elecres+slab+IECC_2018_para00006Table.csv,19.08,0,1.75,5.59,0,0.51275,6.10275,19.21,0,1.75,5.63,0,0.51275,6.14275,0.1,0.85,0.655442219
7,2A,Elec,HOU+elecres+slab+IECC_2018_para00007Table.csv,21.72,0,0.9,6.36,0,0.2637,6.6237,21.72,0,0.92,6.36,0,0.26956,6.62956,0.3,0.1,0.08847019
8,2A,Elec,HOU+elecres+slab+IECC_2018_para00008Table.csv,21.72,0,0,6.36,0,0,6.36,21.72,0,0,6.36,0,0,6.36,0.3,0.25,0
9,2A,Elec,HOU+elecres+slab+IECC_2018_para00009Table.csv,21.72,0,1.23,6.36,0,0.36039,6.72039,21.72,0,1.28,6.36,0,0.37504,6.73504,0.3,0.4,0.217993301
10,2A,Elec,HOU+elecres+slab+IECC_2018_para00010Table.csv,21.72,0,1.4,6.36,0,0.4102,6.7702,21.73,0,1.46,6.37,0,0.42778,6.79778,0.3,0.55,0.40737349
11,2A,Elec,HOU+elecres+slab+IECC_2018_para00011Table.csv,21.73,0,1.6,6.37,0,0.4688,6.8388,21.73,0,1.64,6.37,0,0.48052,6.85052,0.3,0.7,0.171375095
12,2A,Elec,HOU+elecres+slab+IECC_2018_para00012Table.csv,21.73,0,1.83,6.37,0,0.53619,6.90619,21.73,0,1.81,6.37,0,0.53033,6.90033,0.3,0.85,-0.084851416
13,2A,Elec,HOU+elecres+slab+IECC_2018_para00013Table.csv,23.56,0,0.94,6.9,0,0.27542,7.17542,23.56,0,0.95,6.9,0,0.27835,7.17835,0.5,0.1,0.040833847
14,2A,Elec,HOU+elecres+slab+IECC_2018_para00014Table.csv,23.56,0,1.12,6.9,0,0.32816,7.22816,23.56,0,1.14,6.9,0,0.33402,7.23402,0.5,0.25,0.081071808
15,2A,Elec,HOU+elecres+slab+IECC_2018_para00015Table.csv,23.56,0,1.27,6.9,0,0.37211,7.27211,23.56,0,1.32,6.9,0,0.38676,7.28676,0.5,0.4,0.201454598
16,2A,Elec,HOU+elecres+slab+IECC_2018_para00016Table.csv,23.57,0,1.44,6.91,0,0.42192,7.33192,23.57,0,1.49,6.91,0,0.43657,7.34657,0.5,0.55,0.199811236
17,2A,Elec,HOU+elecres+slab+IECC_2018_para00017Table.csv,23.57,0,1.64,6.91,0,0.48052,7.39052,23.57,0,1.66,6.91,0,0.48638,7.39638,0.5,0.7,0.079290767
18,2A,Elec,HOU+elecres+slab+IECC_2018_para00018Table.csv,23.57,0,1.86,6.91,0,0.54498,7.45498,23.57,0,1.84,6.91,0,0.53912,7.44912,0.5,0.85,-0.078605174
19,2A,Elec,HOU+elecres+slab+IECC_2018_para00019Table.csv,25.14,0,0.98,7.37,0,0.28714,7.65714,25.14,0,0.99,7.37,0,0.29007,7.66007,0.7,0.1,0.03826494
20,2A,Elec,HOU+elecres+slab+IECC_2018_para00020Table.csv,25.14,0,1.17,7.37,0,0.34281,7.71281,25.14,0,1.19,7.37,0,0.34867,7.71867,0.7,0.25,0.075977497
21,2A,Elec,HOU+elecres+slab+IECC_2018_para00021Table.csv,25.14,0,1.34,7.37,0,0.39262,7.76262,25.14,0,1.38,7.37,0,0.40434,7.77434,0.7,0.4,0.150979953
22,2A,Elec,HOU+elecres+slab+IECC_2018_para00022Table.csv,25.14,0,1.51,7.37,0,0.44243,7.81243,25.14,0,1.55,7.37,0,0.45415,7.82415,0.7,0.55,0.150017344
23,2A,Elec,HOU+elecres+slab+IECC_2018_para00023Table.csv,25.14,0,1.7,7.37,0,0.4981,7.8681,25.14,0,1.72,7.37,0,0.50396,7.87396,0.7,0.7,0.074477955
24,2A,Elec,HOU+elecres+slab+IECC_2018_para00024Table.csv,25.14,0,1.9,7.37,0,0.5567,7.9267,25.14,0,1.88,7.37,0,0.55084,7.92084,0.7,0.85,-0.073927359
25,2A,Elec,HOU+elecres+slab+IECC_2018_para00025Table.csv,26.5,0,1.01,7.76,0,0.29593,8.05593,26.5,0,1.03,7.76,0,0.30179,8.06179,0.9,0.1,0.072741446
26,2A,Elec,HOU+elecres+slab+IECC_2018_para00026Table.csv,26.5,0,1.23,7.76,0,0.36039,8.12039,26.5,0,1.25,7.76,0,0.36625,8.12625,0.9,0.25,0.072164022
27,2A,Elec,HOU+elecres+slab+IECC_2018_para00027Table.csv,26.5,0,1.41,7.76,0,0.41313,8.17313,26.5,0,1.44,7.76,0,0.42192,8.18192,0.9,0.4,0.107547537
28,2A,Elec,HOU+elecres+slab+IECC_2018_para00028Table.csv,26.5,0,1.6,7.76,0,0.4688,8.2288,26.5,0,1.61,7.76,0,0.47173,8.23173,0.9,0.55,0.03560665
29,2A,Elec,HOU+elecres+slab+IECC_2018_para00029Table.csv,26.5,0,1.76,7.76,0,0.51568,8.27568,26.5,0,1.77,7.76,0,0.51861,8.27861,0.9,0.7,0.035404946
30,2A,Elec,HOU+elecres+slab+IECC_2018_para00030Table.csv,26.5,0,1.93,7.76,0,0.56549,8.32549,26.5,0,1.92,7.76,0,0.56256,8.32256,0.9,0.85,-0.035193124
31,2A,Elec,HOU+elecres+slab+IECC_2018_para00031Table.csv,27.29,0,1.03,8,0,0.30179,8.30179,27.29,0,1.05,8,0,0.30765,8.30765,1.1,0.1,0.070587187
32,2A,Elec,HOU+elecres+slab+IECC_2018_para00032Table.csv,27.29,0,1.27,8,0,0.37211,8.37211,27.29,0,1.28,8,0,0.37504,8.37504,1.1,0.25,0.034997151
33,2A,Elec,HOU+elecres+slab+IECC_2018_para00033Table.csv,27.29,0,1.45,8,0,0.42485,8.42485,27.29,0,1.47,8,0,0.43071,8.43071,1.1,0.4,0.069556135
34,2A,Elec,HOU+elecres+slab+IECC_2018_para00034Table.csv,27.29,0,1.64,8,0,0.48052,8.48052,27.29,0,1.64,8,0,0.48052,8.48052,1.1,0.55,0
35,2A,Elec,HOU+elecres+slab+IECC_2018_para00035Table.csv,27.29,0,1.79,8,0,0.52447,8.52447,27.29,0,1.79,8,0,0.52447,8.52447,1.1,0.7,0
36,2A,Elec,HOU+elecres+slab+IECC_2018_para00036Table.csv,27.29,0,1.95,8,0,0.57135,8.57135,27.29,0,1.93,8,0,0.56549,8.56549,1.1,0.85,-0.068367293
1,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00001Table.csv,0,9,4,0,2.63,1.11,3.74,0,9,4,0,2.65,1.11,3.76,0.1,0.1,0.534759358
2,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00002Table.csv,0,10,2,0,2.91,0.44,3.35,0,10,2,0,2.94,0.45,3.39,0.1,0.25,1.194029851
3,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00003Table.csv,0,11,2,0,3.14,0.48,3.62,0,11,2,0,3.22,0.5,3.72,0.1,0.4,2.762430939
4,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00004Table.csv,0,12,2,0,3.4,0.54,3.94,0,12,2,0,3.47,0.54,4.01,0.1,0.55,1.776649746
5,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00005Table.csv,0,12,2,0,3.57,0.59,4.16,0,12,2,0,3.61,0.6,4.21,0.1,0.7,1.201923077
6,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00006Table.csv,0,14,2,0,4.12,0.66,4.78,0,14,2,0,4.1,0.66,4.76,0.1,0.85,-0.418410042
7,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00007Table.csv,0,9,1,0,2.68,0.4,3.08,0,9,1,0,2.72,0.4,3.12,0.3,0.1,1.298701299
8,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00008Table.csv,0,10,0,0,2.98,0,2.98,0,10,0,0,3.01,0,3.01,0.3,0.25,1.006711409
9,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00009Table.csv,0,11,2,0,3.2,0.5,3.7,0,11,2,0,3.28,0.51,3.79,0.3,0.4,2.432432432
10,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00010Table.csv,0,12,2,0,3.46,0.54,4,0,12,2,0,3.55,0.56,4.11,0.3,0.55,2.75
11,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00011Table.csv,0,13,2,0,3.68,0.59,4.27,0,13,2,0,3.72,0.6,4.32,0.3,0.7,1.170960187
12,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00012Table.csv,0,14,2,0,4.16,0.67,4.83,0,14,2,0,4.14,0.66,4.8,0.3,0.85,-0.621118012
13,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00013Table.csv,0,9,1,0,2.75,0.41,3.16,0,9,1,0,2.78,0.41,3.19,0.5,0.1,0.949367089
14,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00014Table.csv,0,10,2,0,3.04,0.46,3.5,0,10,2,0,3.07,0.47,3.54,0.5,0.25,1.142857143
15,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00015Table.csv,0,11,2,0,3.25,0.5,3.75,0,11,2,0,3.33,0.52,3.85,0.5,0.4,2.666666667
16,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00016Table.csv,0,12,2,0,3.52,0.56,4.08,0,12,2,0,3.6,0.57,4.17,0.5,0.55,2.205882353
17,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00017Table.csv,0,13,2,0,3.77,0.61,4.38,0,13,2,0,3.8,0.61,4.41,0.5,0.7,0.684931507
18,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00018Table.csv,0,14,2,0,3.97,0.65,4.62,0,13,2,0,3.94,0.64,4.58,0.5,0.85,-0.865800866
19,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00019Table.csv,0,10,1,0,2.81,0.42,3.23,0,10,1,0,2.85,0.42,3.27,0.7,0.1,1.238390093
20,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00020Table.csv,0,11,2,0,3.12,0.48,3.6,0,11,2,0,3.15,0.48,3.63,0.7,0.25,0.833333333
21,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00021Table.csv,0,12,2,0,3.37,0.52,3.89,0,12,2,0,3.43,0.54,3.97,0.7,0.4,2.05655527
22,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00022Table.csv,0,12,2,0,3.63,0.58,4.21,0,13,2,0,3.69,0.59,4.28,0.7,0.55,1.662707838
23,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00023Table.csv,0,13,2,0,3.87,0.62,4.49,0,13,2,0,3.89,0.63,4.52,0.7,0.7,0.668151448
24,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00024Table.csv,0,14,2,0,4.06,0.67,4.73,0,14,2,0,4.04,0.66,4.7,0.7,0.85,-0.634249471
25,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00025Table.csv,0,10,1,0,2.86,0.43,3.29,0,10,1,0,2.9,0.43,3.33,0.9,0.1,1.215805471
26,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00026Table.csv,0,11,2,0,3.22,0.5,3.72,0,11,2,0,3.24,0.5,3.74,0.9,0.25,0.537634409
27,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00027Table.csv,0,12,2,0,3.48,0.55,4.03,0,12,2,0,3.52,0.55,4.07,0.9,0.4,0.992555831
28,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00028Table.csv,0,13,2,0,3.76,0.6,4.36,0,13,2,0,3.78,0.6,4.38,0.9,0.55,0.458715596
29,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00029Table.csv,0,14,2,0,3.97,0.64,4.61,0,14,2,0,3.98,0.64,4.62,0.9,0.7,0.21691974
30,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00030Table.csv,0,14,2,0,4.14,0.68,4.82,0,14,2,0,4.12,0.67,4.79,0.9,0.85,-0.622406639
31,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00031Table.csv,0,10,1,0,2.9,0.43,3.33,0,10,2,0,2.94,0.44,3.38,1.1,0.1,1.501501502
32,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00032Table.csv,0,11,2,0,3.27,0.5,3.77,0,11,2,0,3.28,0.51,3.79,1.1,0.25,0.530503979
33,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00033Table.csv,0,12,2,0,3.55,0.56,4.11,0,12,2,0,3.57,0.57,4.14,1.1,0.4,0.729927007
34,2A,Gas,HOU+gasfurnace+slab+Prior1990_para00034Table.csv,0,13,2,0,3.82,0.61,4.43,0,13,2,0,3.82,0.61,4.43,1.1,0.55,0
