Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
2,2A,Elec,HOU+elecres+slab+IECC_2006_para00002Table.csv,15687.44,13762.61,3007.6,4596.42,4032.4,881.2268,15498.63,14117.1,3077.9,4541.1,4136.3,901.8247,0.1,0.25,-1.203574324,2.575746897,2.33741189
3,2A,Elec,HOU+elecres+slab+IECC_2006_para00003Table.csv,14790.91,15342.55,3380.89,4333.74,4495.4,990.60077,14390.2,16282.25,3569.42,4216.33,4770.7,1045.84006,0.1,0.4,-2.709163939,6.124796725,5.576342324
4,2A,Elec,HOU+elecres+slab+IECC_2006_para00004Table.csv,13901.75,17385.73,3859.24,4073.21,5094,1130.75732,13538.9,18516.76,4093.38,3966.9,5425.4,1199.36034,0.1,0.55,-2.610103045,6.505507678,6.066997647
5,2A,Elec,HOU+elecres+slab+IECC_2006_para00005Table.csv,13049.17,20051.97,4471.03,3823.41,5875.2,1310.01179,12899.79,20705.01,4615.86,3779.64,6066.6,1352.44698,0.1,0.7,-1.144747137,3.256737368,3.239298327
6,2A,Elec,HOU+elecres+slab+IECC_2006_para00006Table.csv,12360.86,23134.86,5201.11,3621.73,6778.5,1523.92523,12400.32,22893.64,5137.05,3633.29,6707.8,1505.15565,0.1,0.85,0.319233451,-1.042668942,-1.231660165
7,2A,Elec,HOU+elecres+slab+IECC_2006_para00007Table.csv,20292.75,11612.51,2629.69,5945.78,3402.5,770.49917,19994.88,11950.99,2690.41,5858.5,3501.6,788.29013,0.3,0.1,-1.467864139,2.914787587,2.309017413
8,2A,Elec,HOU+elecres+slab+IECC_2006_para00008Table.csv,18548.28,13761.63,3104.59,5434.65,4032.2,909.64487,18336.65,14126.91,3178.68,5372.64,4139.2,931.35324,0.3,0.25,-1.140968327,2.654336732,2.38646649
9,2A,Elec,HOU+elecres+slab+IECC_2006_para00009Table.csv,17586.5,15265.59,3475.46,5152.84,4472.8,1018.30978,17123.22,16217.83,3667.63,5017.1,4751.8,1074.61559,0.3,0.4,-2.63429335,6.237819829,5.529340001
10,2A,Elec,HOU+elecres+slab+IECC_2006_para00010Table.csv,16563.96,17292.01,3953.35,4853.24,5066.6,1158.33155,16182.38,18312.87,4166.67,4741.44,5365.7,1220.83431,0.3,0.55,-2.303676174,5.903651455,5.395930034
11,2A,Elec,HOU+elecres+slab+IECC_2006_para00011Table.csv,15593.97,19882.77,4547,4569.03,5825.7,1332.271,15445.34,20427.55,4676.56,4525.48,5985.3,1370.23208,0.3,0.7,-0.95312483,2.739960277,2.849351221
12,2A,Elec,HOU+elecres+slab+IECC_2006_para00012Table.csv,14804.46,22851.86,5257.08,4337.71,6695.6,1540.32444,14863.77,22553.81,5188.26,4355.08,6608.3,1520.16018,0.3,0.85,0.400622515,-1.304270199,-1.309091739
13,2A,Elec,HOU+elecres+slab+IECC_2006_para00013Table.csv,22831.59,11676.8,2714.23,6689.66,3421.3,795.26939,22528.78,12009.8,2775.48,6600.93,3518.9,813.21564,0.5,0.1,-1.326276444,2.851808715,2.256625268
14,2A,Elec,HOU+elecres+slab+IECC_2006_para00014Table.csv,20987.06,13799.61,3198.58,6149.21,4043.3,937.18394,20783.19,14126.91,3266.76,6089.47,4139.2,957.16068,0.5,0.25,-0.971408096,2.37180616,2.131570885
15,2A,Elec,HOU+elecres+slab+IECC_2006_para00015Table.csv,19969.44,15269.2,3566.4,5851.05,4473.9,1044.9552,19500.17,16151.44,3746.75,5713.55,4732.4,1097.79775,0.5,0.4,-2.349940709,5.77790585,5.056920144
16,2A,Elec,HOU+elecres+slab+IECC_2006_para00016Table.csv,18844.38,17317.37,4051.85,5521.4,5074,1187.19205,18473.52,18190.8,4236.83,5412.74,5329.9,1241.39119,0.5,0.55,-1.968013806,5.043664252,4.565322013
17,2A,Elec,HOU+elecres+slab+IECC_2006_para00017Table.csv,17788.43,19859.46,4642.4,5212.01,5818.8,1360.2232,17662.09,20264.21,4733.64,5174.99,5937.4,1386.95652,0.5,0.7,-0.710236935,2.038071529,1.965362743
18,2A,Elec,HOU+elecres+slab+IECC_2006_para00018Table.csv,16930.98,22686.93,5324.65,4960.78,6647.3,1560.12245,17015.87,22318.46,5239.18,4985.65,6539.3,1535.07974,0.5,0.85,0.501388579,-1.624150998,-1.605175927
19,2A,Elec,HOU+elecres+slab+IECC_2006_para00019Table.csv,24945.41,11825.22,2811.24,7309.01,3464.8,823.69332,24642.78,12144.78,2872.08,7220.33,3558.4,841.51944,0.7,0.1,-1.213169076,2.702359872,2.164169548
20,2A,Elec,HOU+elecres+slab+IECC_2006_para00020Table.csv,22887.2,14119.09,3342.68,6705.95,4136.9,979.40524,22722.35,14402.45,3405,6657.65,4219.9,997.665,0.7,0.25,-0.720271593,2.006928209,1.8643723
21,2A,Elec,HOU+elecres+slab+IECC_2006_para00021Table.csv,21682.57,15854.72,3768.79,6352.99,4645.4,1104.25547,21352.5,16502.08,3908.76,6256.28,4835.1,1145.26668,0.7,0.4,-1.522282645,4.083074315,3.713924098
22,2A,Elec,HOU+elecres+slab+IECC_2006_para00022Table.csv,20537.56,17931.91,4259.43,6017.51,5254,1248.01299,20314.39,18490.85,4384.74,5952.12,5417.8,1284.72882,0.7,0.55,-1.086643204,3.11701319,2.941942936
23,2A,Elec,HOU+elecres+slab+IECC_2006_para00023Table.csv,19591.98,20182.6,4802.18,5740.45,5913.5,1407.03874,19489,20492.32,4873.74,5710.28,6004.2,1428.00582,0.7,0.7,-0.52562324,1.534589201,1.490156554
24,2A,Elec,HOU+elecres+slab+IECC_2006_para00024Table.csv,18769.87,22704.74,5416.74,5499.57,6652.5,1587.10482,18834.76,22426.99,5352.37,5518.58,6571.1,1568.24441,0.7,0.85,0.345713636,-1.223312841,-1.188353142
25,2A,Elec,HOU+elecres+slab+IECC_2006_para00025Table.csv,26796.32,11957.73,2891.98,7851.32,3503.6,847.35014,26500.77,12280.67,2955.56,7764.73,3598.2,865.97908,0.9,0.1,-1.102949957,2.700679811,2.198493766
26,2A,Elec,HOU+elecres+slab+IECC_2006_para00026Table.csv,24502.8,14511.71,3493.11,7179.32,4251.9,1023.48123,24405.98,14659.75,3532.2,7150.95,4295.3,1034.9346,0.9,0.25,-0.395138515,1.020141665,1.119060093
27,2A,Elec,HOU+elecres+slab+IECC_2006_para00027Table.csv,23148.93,16445.31,3965.62,6782.64,4818.5,1161.92666,22951.4,16853.47,4058.93,6724.76,4938.1,1189.26649,0.9,0.4,-0.853300779,2.481923418,2.35297381
28,2A,Elec,HOU+elecres+slab+IECC_2006_para00028Table.csv,21953.21,18699.19,4511.03,6432.29,5478.9,1321.73179,21902.07,18829.56,4540.62,6417.31,5517.1,1330.40166,0.9,0.55,-0.232949988,0.697195975,0.655947755
29,2A,Elec,HOU+elecres+slab+IECC_2006_para00029Table.csv,21136.49,20583.21,4970.63,6192.99,6030.9,1456.39459,21082.3,20724.83,5004.14,6177.11,6072.4,1466.21302,0.9,0.7,-0.256381263,0.688036511,0.674160016
